scientific_name,latitude,longitude,type,source,countryCode
Bactris gasipaes,4.291368,-72.874985,H,GBIF,COL
Bactris gasipaes,4.294425,-72.876715,H,GBIF,COL
Bactris gasipaes,0.624056,-76.999333,H,GBIF,COL
Bactris gasipaes,4.222543,-72.474285,H,GBIF,COL
Bactris gasipaes,4.222493,-72.474424,H,GBIF,COL
Bactris gasipaes,6.91563,-71.53085,H,GBIF,COL
Bactris gasipaes,6.93892,-71.53342,H,GBIF,COL
Bactris gasipaes,6.93892,-71.53342,H,GBIF,COL
Bactris gasipaes,5.689439,-72.130052,H,GBIF,COL
Bactris gasipaes,5.821029,-72.164873,H,GBIF,COL
Bactris gasipaes,5.821029,-72.164873,H,GBIF,COL
Bactris gasipaes,5.821029,-72.164873,H,GBIF,COL
Bactris gasipaes,5.821029,-72.164873,H,GBIF,COL
Bactris gasipaes,5.821029,-72.164873,H,GBIF,COL
Bactris gasipaes,5.77675,-72.14366,H,GBIF,COL
Bactris gasipaes,5.77675,-72.14366,H,GBIF,COL
Bactris gasipaes,5.77675,-72.14366,H,GBIF,COL
Bactris gasipaes,5.710814,-72.171006,H,GBIF,COL
Bactris gasipaes,5.532292,-72.225257,H,GBIF,COL
Bactris gasipaes,5.500488,-72.175729,H,GBIF,COL
Bactris gasipaes,5.870031,-72.05648,H,GBIF,COL
Bactris gasipaes,5.517776,-72.182016,H,GBIF,COL
Bactris gasipaes,5.906221,-72.049881,H,GBIF,COL
Bactris gasipaes,5.668647,-72.20842,H,GBIF,COL
Bactris gasipaes,5.668647,-72.20842,H,GBIF,COL
Bactris gasipaes,5.668238,-72.208553,H,GBIF,COL
Bactris gasipaes,5.668238,-72.208553,H,GBIF,COL
Bactris gasipaes,5.668238,-72.208553,H,GBIF,COL
Bactris gasipaes,5.668238,-72.208553,H,GBIF,COL
Bactris gasipaes,0.430565,-76.835323,H,GBIF,COL
Bactris gasipaes,-12.913757,-69.517813,H,GBIF,PER
Bactris gasipaes,-0.852718,-77.791757,H,GBIF,ECU
Bactris gasipaes,-0.371105,-79.655914,H,GBIF,ECU
Bactris gasipaes,-0.356354,-78.838447,H,GBIF,ECU
Bactris gasipaes,-0.434496,-79.949923,H,GBIF,ECU
Bactris gasipaes,-0.715848,-77.719236,H,GBIF,ECU
Bactris gasipaes,-1.524952,-78.012937,H,GBIF,ECU
Bactris gasipaes,1.081549,-76.670239,H,GBIF,COL
Bactris gasipaes,0.18308,-78.91812,H,GBIF,ECU
Bactris gasipaes,0.18308,-78.91812,H,GBIF,ECU
Bactris gasipaes,-1.513847,-77.978989,H,GBIF,ECU
Bactris gasipaes,-12.9965,-73.539809,H,GBIF,PER
Bactris gasipaes,-3.272772,-78.514947,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.59,-79.36,H,GBIF,ECU
Bactris gasipaes,-0.28,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.28,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.28,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.28,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.28,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.28,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.28,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.28,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.28,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.28,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.28,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.28,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.28,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.28,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.28,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.28,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.28,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.28,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.27,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.27,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.27,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.27,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.27,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.27,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.27,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.27,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.27,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.27,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.27,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.27,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.28,-79.13,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.23,-79.15,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.05,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.05,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.05,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.05,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.05,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.05,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.05,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.05,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.05,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.05,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.05,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.05,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.04,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.05,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.05,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.05,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.05,H,GBIF,ECU
Bactris gasipaes,-0.3,-79.05,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.38,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.38,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.38,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.38,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.38,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.38,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.38,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.38,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.38,H,GBIF,ECU
Bactris gasipaes,-0.01,-79.38,H,GBIF,ECU
Bactris gasipaes,-0.03,-79.4,H,GBIF,ECU
Bactris gasipaes,-0.03,-79.4,H,GBIF,ECU
Bactris gasipaes,-0.03,-79.4,H,GBIF,ECU
Bactris gasipaes,-0.03,-79.4,H,GBIF,ECU
Bactris gasipaes,-0.03,-79.4,H,GBIF,ECU
Bactris gasipaes,-0.03,-79.4,H,GBIF,ECU
Bactris gasipaes,-0.03,-79.4,H,GBIF,ECU
Bactris gasipaes,-0.03,-79.4,H,GBIF,ECU
Bactris gasipaes,-0.03,-79.4,H,GBIF,ECU
Bactris gasipaes,-0.03,-79.4,H,GBIF,ECU
Bactris gasipaes,-0.03,-79.4,H,GBIF,ECU
Bactris gasipaes,-0.03,-79.4,H,GBIF,ECU
Bactris gasipaes,-0.03,-79.4,H,GBIF,ECU
Bactris gasipaes,-0.03,-79.4,H,GBIF,ECU
Bactris gasipaes,-0.03,-79.4,H,GBIF,ECU
Bactris gasipaes,-0.03,-79.4,H,GBIF,ECU
Bactris gasipaes,-0.03,-79.4,H,GBIF,ECU
Bactris gasipaes,-0.02,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.02,-79.39,H,GBIF,ECU
Bactris gasipaes,-0.02,-79.39,H,GBIF,ECU
Bactris gasipaes,-11.23,-73.7,H,GBIF,PER
Bactris gasipaes,-12.47,-69.08,H,GBIF,PER
Bactris gasipaes,-12.47,-69.08,H,GBIF,PER
Bactris gasipaes,-12.47,-69.08,H,GBIF,PER
Bactris gasipaes,-12.47,-69.08,H,GBIF,PER
Bactris gasipaes,-12.47,-69.08,H,GBIF,PER
Bactris gasipaes,-12.47,-69.08,H,GBIF,PER
Bactris gasipaes,-12.47,-69.08,H,GBIF,PER
Bactris gasipaes,-11.29,-69.51,H,GBIF,PER
Bactris gasipaes,-11.15,-69.55,H,GBIF,PER
Bactris gasipaes,-11.15,-69.55,H,GBIF,PER
Bactris gasipaes,-11.15,-69.55,H,GBIF,PER
Bactris gasipaes,-11.15,-69.55,H,GBIF,PER
Bactris gasipaes,-11.15,-69.55,H,GBIF,PER
Bactris gasipaes,-11.15,-69.55,H,GBIF,PER
Bactris gasipaes,-12.51,-68.8,H,GBIF,PER
Bactris gasipaes,-12.51,-68.8,H,GBIF,PER
Bactris gasipaes,-12.51,-68.8,H,GBIF,PER
Bactris gasipaes,-12.5,-68.85,H,GBIF,PER
Bactris gasipaes,-12.5,-68.85,H,GBIF,PER
Bactris gasipaes,-12.5,-68.85,H,GBIF,PER
Bactris gasipaes,-6.91,-75.24,H,GBIF,PER
Bactris gasipaes,-7.03,-75.09,H,GBIF,PER
Bactris gasipaes,-7.2,-75.07,H,GBIF,PER
Bactris gasipaes,-3.65,-73.3,H,GBIF,PER
Bactris gasipaes,-3.65,-73.3,H,GBIF,PER
Bactris gasipaes,-0.541122,-77.430533,H,GBIF,ECU
Bactris gasipaes,10.246339,-73.739522,H,GBIF,COL
Bactris gasipaes,10.246339,-73.739522,H,GBIF,COL
