"","scientific_name","latitude","longitude","type","source","countryCode"
"177","Bactris gasipaes",0.18308,-78.91812,"H","GBIF","ECU"
"178","Bactris gasipaes",0.18308,-78.91812,"H","GBIF","ECU"
"179","Bactris gasipaes",-1.513847,-77.978989,"H","GBIF","ECU"
"180","Bactris gasipaes",-12.9965,-73.539809,"H","GBIF","PER"
"181","Bactris gasipaes",-3.272772,-78.514947,"H","GBIF","ECU"
"182","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"183","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"184","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"185","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"186","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"187","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"188","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"189","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"190","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"191","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"192","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"193","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"194","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"195","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"196","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"197","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"198","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"199","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"200","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"201","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"202","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"203","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"204","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"205","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"206","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"207","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"208","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"209","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"210","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"211","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"212","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"213","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"214","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"215","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"216","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"217","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"218","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"219","Bactris gasipaes",-0.59,-79.36,"H","GBIF","ECU"
"220","Bactris gasipaes",-0.28,-79.13,"H","GBIF","ECU"
"221","Bactris gasipaes",-0.28,-79.13,"H","GBIF","ECU"
"222","Bactris gasipaes",-0.28,-79.13,"H","GBIF","ECU"
"223","Bactris gasipaes",-0.28,-79.13,"H","GBIF","ECU"
"224","Bactris gasipaes",-0.28,-79.13,"H","GBIF","ECU"
"225","Bactris gasipaes",-0.28,-79.13,"H","GBIF","ECU"
"226","Bactris gasipaes",-0.28,-79.13,"H","GBIF","ECU"
"227","Bactris gasipaes",-0.28,-79.13,"H","GBIF","ECU"
"228","Bactris gasipaes",-0.28,-79.13,"H","GBIF","ECU"
"229","Bactris gasipaes",-0.28,-79.13,"H","GBIF","ECU"
"230","Bactris gasipaes",-0.28,-79.13,"H","GBIF","ECU"
"231","Bactris gasipaes",-0.28,-79.13,"H","GBIF","ECU"
"232","Bactris gasipaes",-0.28,-79.13,"H","GBIF","ECU"
"233","Bactris gasipaes",-0.28,-79.13,"H","GBIF","ECU"
"234","Bactris gasipaes",-0.28,-79.13,"H","GBIF","ECU"
"235","Bactris gasipaes",-0.28,-79.13,"H","GBIF","ECU"
"236","Bactris gasipaes",-0.28,-79.13,"H","GBIF","ECU"
"237","Bactris gasipaes",-0.28,-79.13,"H","GBIF","ECU"
"238","Bactris gasipaes",-0.27,-79.13,"H","GBIF","ECU"
"239","Bactris gasipaes",-0.27,-79.13,"H","GBIF","ECU"
"240","Bactris gasipaes",-0.27,-79.13,"H","GBIF","ECU"
"241","Bactris gasipaes",-0.27,-79.13,"H","GBIF","ECU"
"242","Bactris gasipaes",-0.27,-79.13,"H","GBIF","ECU"
"243","Bactris gasipaes",-0.27,-79.13,"H","GBIF","ECU"
"244","Bactris gasipaes",-0.27,-79.13,"H","GBIF","ECU"
"245","Bactris gasipaes",-0.27,-79.13,"H","GBIF","ECU"
"246","Bactris gasipaes",-0.27,-79.13,"H","GBIF","ECU"
"247","Bactris gasipaes",-0.27,-79.13,"H","GBIF","ECU"
"248","Bactris gasipaes",-0.27,-79.13,"H","GBIF","ECU"
"249","Bactris gasipaes",-0.27,-79.13,"H","GBIF","ECU"
"250","Bactris gasipaes",-0.28,-79.13,"H","GBIF","ECU"
"251","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"252","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"253","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"254","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"255","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"256","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"257","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"258","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"259","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"260","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"261","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"262","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"263","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"264","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"265","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
"266","Bactris gasipaes",-0.23,-79.15,"H","GBIF","ECU"
